Id,OwnerId,IsDeleted,Name,RecordTypeId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Apex__c,Close_Date__c,Csharp__c,Days_Open__c,Educational_Requirements__c,Functional_Area__c,Hire_By__c,Hiring_Manager__c,JavaScript__c,Java__c,Job_Description__c,Job_Level__c,Location__c,Max_Pay__c,Min_Pay__c,Open_Date__c,Responsibilities__c,Skills_Required__c,Status__c,Travel_Required__c,Type__c,Internal_Only__c
a036g000000oADhAAM,0056g000000FFmxAAG,,HR Specialist,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-13,,122,,Human Resources,2020-02-18,,,,,,DC,,,2019-11-12,,,New Position,,Full Time,
a036g000000oADiAAM,0056g000000FFmxAAG,,Cashier,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-14,,122,,Retail Operations,2020-02-19,,,,,,Maryland,,,2019-11-13,,,New Position,,Full Time,1
a036g000000oADjAAM,0056g000000FFmxAAG,,Stocker,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-15,,122,,Warehousing,2020-02-20,,,,,,Remote,,,2019-11-14,,,New Position,,Full Time,
a036g000000oADkAAM,0056g000000FFmxAAG,,Software Engineer,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-16,,122,,Information Technology,2020-02-21,,,,,,Indianapolis,,,2019-11-15,,,New Position,,Full Time,1
a036g000000oADlAAM,0056g000000FFmxAAG,,"Manager, Accounting",0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-17,,130,,Finance,2020-02-22,,,,,,Bellevue,,,2019-11-08,,,New Position,,Full Time,
a036g000000oADmAAM,0056g000000FFmxAAG,,"Manager, Recruiting",0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-18,,130,,Human Resources,2020-02-23,,,,,,Dallas,,,2019-11-09,,,New Position,,Full Time,1
a036g000000oADnAAM,0056g000000FFmxAAG,,Store Manager,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-19,,130,,Retail Operations,2020-02-24,,,,,,Herndon,,,2019-11-10,,,New Position,,Full Time,
a036g000000oADoAAM,0056g000000FFmxAAG,,Inventory Specialist,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-20,,130,,Warehousing,2020-02-25,,,,,,Reston,,,2019-11-11,,,New Position,,Full Time,1
a036g000000oADpAAM,0056g000000FFmxAAG,,Business Analyst,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-21,,130,,Information Technology,2020-02-26,,,,,,"San Francisco, CA",,,2019-11-12,,,New Position,,Full Time,
a036g000000oADqAAM,0056g000000FFmxAAG,,Accountant,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-22,,130,,Finance,2020-02-27,,,,,,Denver,,,2019-11-13,,,New Position,,Full Time,1
a036g000000oADrAAM,0056g000000FFmxAAG,,HR Specialist,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-23,,130,,Human Resources,2020-02-28,,,,,,DC,,,2019-11-14,,,New Position,,Full Time,
a036g000000oADsAAM,0056g000000FFmxAAG,,Cashier,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-24,,130,,Retail Operations,2020-02-29,,,,,,Maryland,,,2019-11-15,,,New Position,,Full Time,1
a036g000000oADtAAM,0056g000000FFmxAAG,,Stocker,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-25,,138,,Warehousing,2020-03-01,,,,,,Remote,,,2019-11-08,,,New Position,,Full Time,
a036g000000oADuAAM,0056g000000FFmxAAG,,Software Engineer,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-26,,138,,Information Technology,2020-03-02,,,,,,Indianapolis,,,2019-11-09,,,New Position,,Full Time,1
a036g000000oADvAAM,0056g000000FFmxAAG,,"Manager, Accounting",0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-27,,138,,Finance,2020-03-03,,,,,,Bellevue,,,2019-11-10,,,New Position,,Full Time,
a036g000000oADwAAM,0056g000000FFmxAAG,,"Manager, Recruiting",0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-28,,138,,Human Resources,2020-03-04,,,,,,Dallas,,,2019-11-11,,,New Position,,Full Time,1
a036g000000oADxAAM,0056g000000FFmxAAG,,Store Manager,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-29,,138,,Retail Operations,2020-03-05,,,,,,Herndon,,,2019-11-12,,,New Position,,Full Time,
a036g000000oADyAAM,0056g000000FFmxAAG,,Inventory Specialist,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-30,,138,,Warehousing,2020-03-06,,,,,,Reston,,,2019-11-13,,,New Position,,Full Time,1
a036g000000oADzAAM,0056g000000FFmxAAG,,Business Analyst,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-31,,138,,Information Technology,2020-03-07,,,,,,"San Francisco, CA",,,2019-11-14,,,New Position,,Full Time,
a036g000000oAE0AAM,0056g000000FFmxAAG,,Accountant,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-04-01,,138,,Finance,2020-03-08,,,,,,Denver,,,2019-11-15,,,New Position,,Full Time,1
a036g000000oAE1AAM,0056g000000FFmxAAG,,HR Specialist,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-04-02,,146,,Human Resources,2020-03-09,,,,,,DC,,,2019-11-08,,,New Position,,Full Time,
a036g000000oAE2AAM,0056g000000FFmxAAG,,Cashier,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-04-03,,146,,Retail Operations,2020-03-10,,,,,,Maryland,,,2019-11-09,,,New Position,,Full Time,1
a036g000000oAE3AAM,0056g000000FFmxAAG,,Stocker,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-04-04,,146,,Warehousing,2020-03-11,,,,,,Remote,,,2019-11-10,,,New Position,,Full Time,
